3P,3P%,3PA,AST,Age,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,GS,GmSc,Id,MP,ORB,Opp,PF,PTS,Rk,STL,TOV,TRB,Tm,Unnamed: 5,Unnamed: 7
0,0,1,6,39-037,0,2,26/03/2002,4,0.444,9,1,0.333,3,57,0,7.2,jordami01,20:00,1,DEN,2,9,57,0,1,3,WAS,0,W (+16)
0,0,0,0,39-037,5,3,27/02/2002,1,0.2,5,0,0,0,38,0,3.2,olajuha01,15:00,1,ORL,2,2,38,0,0,4,TOR,0,L (-5)
0,0,0,1,39-039,2,4,01/03/2002,4,0.571,7,1,0.5,2,39,0,8.2,olajuha01,20:00,4,POR,3,9,39,0,2,8,TOR,0,L (-10)
0,0,0,1,39-040,0,3,29/03/2002,12,0.545,22,10,0.833,12,58,0,23.8,jordami01,26:00:00,0,MIL,1,34,58,0,0,3,WAS,0,W (+9)
0,0,0,4,39-041,1,4,03/03/2002,6,0.375,16,0,0,0,40,1,12.3,olajuha01,38:00:00,4,PHI,1,12,40,3,1,8,TOR,0,L (-12)
0,0,0,5,39-042,1,2,31/03/2002,4,0.286,14,2,1,2,59,0,5.9,jordami01,28:00:00,1,DAL,1,10,59,1,2,3,WAS,0,L (-7)
0,0,0,2,39-043,0,5,05/03/2002,2,0.5,4,3,0.75,4,41,1,8.1,olajuha01,25:00:00,2,HOU,2,7,41,0,0,7,TOR,@,L (-3)
0,0,0,3,39-044,0,3,02/04/2002,1,0.2,5,0,0,0,60,0,1.5,jordami01,12:00,0,LAL,1,2,60,0,0,3,WAS,0,L (-20)
0,0,0,2,39-045,0,4,07/03/2002,1,1,1,0,0,2,42,0,2.1,olajuha01,9:00,0,DAL,1,2,42,0,1,4,TOR,@,L (-19)
0,0,0,0,39-046,1,6,08/03/2002,6,0.6,10,1,1,1,43,0,12.4,olajuha01,24:00:00,1,MIA,3,13,43,2,0,7,TOR,@,W (+9)
0,0,0,0,39-048,0,5,10/03/2002,1,0.125,8,0,0,0,44,0,-4.6,olajuha01,14:00,1,ORL,4,2,44,0,2,6,TOR,@,L (-13)
0,0,0,0,39-050,0,2,12/03/2002,2,0.4,5,1,0.5,2,45,0,2.3,olajuha01,13:00,0,NJN,3,5,45,2,1,2,TOR,@,L (-2)
0,0,0,0,39-054,1,4,30/10/2001,4,0.5,8,1,0.5,2,1,0,6.8,willike02,23:00,1,ATL,1,9,1,0,0,5,HOU,0,W (+5)
0,0,1,0,39-055,1,11,17/03/2002,3,0.375,8,1,0.25,4,46,0,6,olajuha01,27:00:00,2,SAC,2,7,46,1,1,13,TOR,0,L (-3)
0,0,0,0,39-056,1,11,01/11/2001,4,0.571,7,4,1,4,2,0,10.5,willike02,26:00:00,2,LAC,4,12,2,1,3,13,HOU,0,W (+6)
0,0,0,0,39-057,1,3,19/03/2002,1,0.25,4,0,0,0,47,0,0.4,olajuha01,18:00,2,MIN,3,2,47,0,1,5,TOR,@,L (-32)
0,0,1,2,39-058,0,12,03/11/2001,4,0.333,12,0,0,0,3,0,7.9,willike02,26:00:00,5,MIN,2,8,3,0,1,17,HOU,0,L (-2)
0,0,0,0,39-059,2,5,04/11/2001,5,0.556,9,2,0.667,3,4,0,11.9,willike02,22:00,3,PHO,1,12,4,0,0,8,HOU,@,W (+3)
0,0,0,2,39-060,3,3,22/03/2002,2,0.333,6,1,0.5,2,48,0,4.1,olajuha01,18:00,1,CLE,3,5,48,0,1,4,TOR,@,W (+14)
0,0,0,0,39-061,2,6,06/11/2001,5,0.455,11,2,1,2,5,0,12.6,willike02,21:00,5,DEN,1,12,5,0,0,11,HOU,0,W (+6)
0,0,0,3,39-062,1,4,24/03/2002,1,0.25,4,0,0,0,49,0,0.3,olajuha01,14:00,1,WAS,0,2,49,0,4,5,TOR,0,W (+1)
0,0,0,0,39-063,0,6,08/11/2001,1,0.1,10,0,0,0,6,0,-0.1,willike02,17:00,3,PHI,1,2,6,1,0,9,HOU,0,W (+5)
0,0,0,0,39-064,0,0,09/11/2001,2,0.667,3,2,0.5,4,7,0,5.2,willike02,10:00,3,DEN,2,6,7,0,0,3,HOU,@,L (-27)
0,0,0,0,39-065,0,0,27/03/2002,0,0,2,0,0,0,50,0,-0.8,olajuha01,8:00,0,MIA,1,0,50,2,1,0,TOR,0,W (+1)
0,0,0,1,39-066,0,4,28/03/2002,3,0.6,5,0,0,0,51,0,1.4,olajuha01,15:00,0,ATL,3,6,51,0,3,4,TOR,@,W (+2)
0,0,0,0,39-068,1,7,13/11/2001,8,0.615,13,1,0.5,2,8,0,15.8,willike02,30:00:00,3,SAS,2,17,8,1,0,10,HOU,@,L (-4)
0,0,0,0,39-069,0,5,31/03/2002,4,0.5,8,1,1,1,52,0,6.7,olajuha01,17:00,0,PHI,2,9,52,1,0,5,TOR,@,W (+2)
0,0,0,1,39-070,0,3,15/11/2001,6,0.429,14,3,1,3,9,0,7.7,willike02,27:00:00,5,LAL,5,15,9,0,3,8,HOU,0,L (-1)
0,0,0,0,39-072,2,2,03/04/2002,2,0.286,7,0,0,0,53,0,0.4,olajuha01,19:00,1,CHI,3,4,53,0,1,3,TOR,0,W (+13)
0,0,0,0,39-072,1,10,17/11/2001,5,0.625,8,3,0.5,6,10,0,13.3,willike02,24:00:00,2,DAL,0,13,10,1,1,12,HOU,0,W (+37)
0,0,0,1,39-074,0,2,05/04/2002,4,0.8,5,1,0.5,2,54,0,8.2,olajuha01,15:00,0,CHI,2,9,54,2,1,2,TOR,@,W (+2)
