,+/-,3P,3P%,3PA,AST,Age,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,GS,GmSc,Id,MP,ORB,Opp,PF,PTS,Rk,STL,TOV,TRB,Tm,Unnamed: 5,Unnamed: 7
49,-8,0,0,0,0,22-299,0,6,13/03/2003,1,0.333,3,2,0.333,6,48,1,2.1,evansre01,24:00:00,2,DAL,2,4,48,1,2,8,SEA,0,W (+7)
50,-4,0,0,0,0,22-301,0,7,15/03/2003,0,0,1,0,0,0,49,1,2.7,evansre01,25:00:00,5,GSW,3,0,49,1,2,12,SEA,0,L (-6)
51,12,0,0,0,0,22-302,0,8,16/03/2003,2,0.667,3,1,1,1,50,1,10.6,evansre01,39:00:00,3,DEN,4,5,50,4,0,11,SEA,@,W (+8)
52,7,0,0,0,1,22-304,0,4,18/03/2003,0,0,0,1,0.5,2,51,1,2.7,evansre01,21:00,2,HOU,3,1,51,1,1,6,SEA,0,W (+6)
53,1,0,0,0,1,22-305,0,3,19/03/2003,2,1,2,3,0.75,4,52,1,6.8,evansre01,20:00,2,GSW,3,7,52,0,1,5,SEA,@,L (-6)
54,-12,0,0,0,1,22-307,0,3,21/03/2003,0,0,1,4,0.667,6,53,1,4.7,evansre01,23:00,2,DEN,2,4,53,0,0,5,SEA,0,W (+2)
55,12,0,0,0,0,22-310,0,6,24/03/2003,1,0.2,5,1,1,1,54,1,5.8,evansre01,29:00:00,7,PHO,2,3,54,0,0,13,SEA,@,W (+9)
56,-7,0,0,0,0,22-312,0,6,26/03/2003,4,0.8,5,3,0.75,4,55,1,13.2,evansre01,26:00:00,5,WAS,2,11,55,0,0,11,SEA,0,L (-6)
57,18,0,0,0,0,22-314,1,7,28/03/2003,0,0,4,0,0,0,56,1,0.8,evansre01,27:00:00,2,MEM,4,0,56,1,0,9,SEA,0,W (+24)
58,-3,0,0,0,1,22-316,0,5,30/03/2003,3,0.6,5,3,0.6,5,57,1,7.6,evansre01,28:00:00,3,LAL,4,9,57,1,2,8,SEA,0,W (+21)
59,-10,0,0,0,0,22-318,0,5,01/04/2003,2,0.5,4,0,0,0,58,1,5.4,evansre01,20:00,3,CHI,3,4,58,1,0,8,SEA,@,W (+7)
60,-5,0,0,0,2,22-319,0,4,02/04/2003,2,0.4,5,0,0,0,59,1,3.7,evansre01,26:00:00,2,MIN,4,4,59,0,0,6,SEA,@,L (-5)
61,8,0,0,0,1,22-321,0,7,04/04/2003,1,0.25,4,3,1,3,60,1,3.8,evansre01,31:00:00,2,LAC,5,5,60,0,1,9,SEA,0,W (+8)
63,-14,0,0,0,1,22-323,0,3,06/04/2003,0,0,1,0,0,0,61,1,1.8,evansre01,27:00:00,3,UTA,3,0,61,1,1,6,SEA,0,W (+2)
64,-4,0,0,0,0,22-325,0,4,08/04/2003,0,0,2,2,0.5,4,62,1,3.2,evansre01,30:00:00,4,SAC,4,2,62,2,1,8,SEA,@,L (-22)
65,-10,0,0,0,0,22-326,1,5,09/04/2003,2,0.667,3,1,0.5,2,63,1,4,evansre01,20:00,3,MIN,4,5,63,1,3,8,SEA,0,W (+8)
66,-10,0,0,0,1,22-328,1,8,11/04/2003,0,0,1,2,0.5,4,64,1,5.2,evansre01,25:00:00,5,SAS,4,2,64,1,2,13,SEA,@,L (-8)
67,-11,0,0,0,1,22-329,0,2,12/04/2003,4,0.8,5,1,0.333,3,65,1,9.9,evansre01,29:00:00,1,HOU,1,9,65,2,0,3,SEA,@,L (-15)
68,-11,0,0,0,0,22-331,0,7,14/04/2003,5,0.714,7,3,0.75,4,66,1,14,evansre01,31:00:00,4,DAL,4,13,66,1,0,11,SEA,@,L (-3)
69,25,0,0,0,0,22-333,0,7,16/04/2003,0,0,3,3,0.75,4,67,1,3.5,evansre01,29:00:00,3,PHO,3,3,67,1,1,10,SEA,0,W (+14)
2,1,0,0,0,0,36-015,0,0,01/11/2002,0,0,1,0,0,0,3,0,-0.7,ferryda01,3:00,0,TOR,0,0,3,0,0,0,SAS,0,W (+19)
3,5,0,0,3,1,36-018,0,1,04/11/2002,0,0,3,0,0,0,4,0,-1.5,ferryda01,26:00:00,0,MEM,1,0,4,0,0,1,SAS,@,W (+2)
4,5,0,0,2,2,36-019,1,3,05/11/2002,0,0,2,0,0,0,5,0,-1.2,ferryda01,17:00,0,GSW,2,0,5,0,2,3,SAS,0,W (+20)
8,-7,0,0,0,0,36-028,0,0,14/11/2002,0,0,1,1,0.5,2,9,0,0.2,ferryda01,3:00,1,PHI,1,1,9,0,0,1,SAS,@,L (-5)
9,-8,0,0,0,0,36-030,0,2,16/11/2002,0,0,1,0,0,0,10,0,-0.5,ferryda01,7:00,0,CLE,1,0,10,0,0,2,SAS,@,W (+13)
11,19,0,0,1,2,36-034,1,1,20/11/2002,0,0,1,0,0,0,12,0,1.3,ferryda01,21:00,0,LAL,1,0,12,0,0,1,SAS,0,W (+7)
12,-10,0,0,0,0,36-036,0,0,22/11/2002,0,0,3,0,0,0,13,0,-2.8,ferryda01,5:00,1,MEM,1,0,13,0,1,1,SAS,0,W (+9)
13,-1,0,0,1,1,36-038,0,1,24/11/2002,0,0,2,0,0,0,14,0,-0.7,ferryda01,7:00,1,SEA,0,0,14,0,1,2,SAS,0,L (-1)
14,0,0,0,0,0,36-040,0,0,26/11/2002,0,0,0,0,0,0,15,0,0,ferryda01,1:00,0,DEN,0,0,15,0,0,0,SAS,@,L (-4)
16,-3,0,0,0,0,36-043,0,0,29/11/2002,0,0,0,0,0,0,17,0,0,ferryda01,3:00,0,PHO,0,0,17,0,0,0,SAS,@,L (-7)
18,0,0,0,0,0,36-047,0,0,03/12/2002,0,0,0,0,0,0,19,0,0,ferryda01,1:00,0,HOU,0,0,19,0,0,0,SAS,@,L (-14)
19,-1,0,0,0,1,36-050,0,0,06/12/2002,0,0,0,0,0,0,20,0,-1.7,ferryda01,7:00,0,PHI,1,0,20,0,2,0,SAS,0,W (+5)
21,-4,0,0,0,0,36-052,2,1,08/12/2002,1,0.5,2,0,0,0,21,0,1.3,ferryda01,14:00,0,SAC,1,2,21,0,1,1,SAS,0,L (-24)
23,-1,0,0,0,1,36-060,0,0,16/12/2002,0,0,1,0,0,0,23,0,-0.8,ferryda01,15:00,0,LAC,2,0,23,0,0,0,SAS,@,L (-12)
24,-2,0,0,0,0,36-062,0,0,18/12/2002,0,0,0,0,0,0,24,0,0,ferryda01,2:00,0,SEA,0,0,24,0,0,0,SAS,@,W (+3)
25,2,0,0,1,0,36-063,0,0,19/12/2002,0,0,1,0,0,0,25,0,-0.7,ferryda01,1:00,0,SAC,0,0,25,0,0,0,SAS,@,W (+2)
26,0,0,0,0,0,36-065,0,1,21/12/2002,0,0,1,0,0,0,26,0,-0.4,ferryda01,6:00,0,WAS,0,0,26,0,0,1,SAS,0,W (+11)
27,1,0,0,0,0,36-067,0,0,23/12/2002,0,0,0,0,0,0,27,0,-0.4,ferryda01,3:00,0,NOH,1,0,27,0,0,0,SAS,0,W (+5)
28,7,0,0,1,0,36-074,0,0,30/12/2002,1,0.333,3,0,0,0,28,0,-0.1,ferryda01,9:00,0,NYK,1,2,28,0,0,0,SAS,@,L (-1)
29,2,0,0,0,0,36-075,0,0,31/12/2002,0,0,0,0,0,0,29,0,-0.4,ferryda01,3:00,0,WAS,1,0,29,0,0,0,SAS,@,L (-2)
31,-2,0,0,0,0,36-080,0,0,05/01/2003,0,0,0,0,0,0,31,0,0,ferryda01,1:00,0,LAC,0,0,31,0,0,0,SAS,@,W (+8)
32,-5,0,0,0,0,36-083,0,0,08/01/2003,0,0,0,0,0,0,32,0,-1.4,ferryda01,3:00,0,SEA,1,0,32,0,1,0,SAS,@,W (+11)
33,-3,0,0,1,0,36-087,0,1,12/01/2003,0,0,1,0,0,0,33,0,-0.4,ferryda01,6:00,0,BOS,0,0,33,0,0,1,SAS,0,W (+1)
35,-10,0,0,0,0,36-099,0,0,24/01/2003,0,0,1,0,0,0,35,0,-0.7,ferryda01,5:00,0,UTA,0,0,35,0,0,0,SAS,@,W (+1)
36,9,0,0,1,1,36-100,1,4,25/01/2003,1,0.5,2,0,0,0,36,0,2.9,ferryda01,22:00,1,DET,1,2,36,0,1,5,SAS,0,W (+32)
38,5,0,0,1,1,36-104,1,3,29/01/2003,0,0,2,0,0,0,38,0,1.5,ferryda01,18:00,0,IND,1,0,38,1,0,3,SAS,@,W (+9)
39,-7,0,0,0,0,36-106,0,0,31/01/2003,0,0,0,0,0,0,39,0,-0.4,ferryda01,2:00,0,ORL,1,0,39,0,0,0,SAS,@,W (+1)
44,1,0,0,1,0,36-120,0,0,14/02/2003,0,0,1,0,0,0,43,0,-0.7,ferryda01,5:00,0,LAL,0,0,43,0,0,0,SAS,@,W (+8)
48,-10,0,0,0,0,36-131,0,0,25/02/2003,0,0,1,0,0,0,47,0,-2.7,ferryda01,7:00,0,MIA,0,0,47,0,2,0,SAS,0,W (+15)
49,-14,0,0,0,0,36-143,0,0,09/03/2003,1,0.5,2,0,0,0,48,0,1.3,ferryda01,13:00,1,BOS,1,2,48,0,0,1,SAS,@,W (+16)
50,1,0,0,0,0,36-145,0,0,11/03/2003,0,0,1,1,1,1,49,0,-1.1,ferryda01,7:00,0,MIL,1,1,49,0,1,0,SAS,@,W (+3)
51,1,0,0,0,0,36-146,0,0,12/03/2003,0,0,0,0,0,0,50,0,-0.4,ferryda01,1:00,0,MIN,1,0,50,0,0,0,SAS,@,W (+12)
52,-7,0,0,1,0,36-148,0,0,14/03/2003,1,0.5,2,0,0,0,51,0,0.7,ferryda01,9:00,1,LAC,0,2,51,0,1,1,SAS,0,W (+11)
53,-4,0,0,0,0,36-150,0,0,16/03/2003,0,0,0,0,0,0,52,0,-0.4,ferryda01,2:00,0,CHI,1,0,52,0,0,0,SAS,0,W (+11)
54,3,0,0,0,0,36-154,0,1,20/03/2003,0,0,0,0,0,0,53,0,-1.5,ferryda01,3:00,0,DAL,2,0,53,0,1,1,SAS,@,W (+2)
55,3,0,0,0,1,36-155,0,0,21/03/2003,0,0,0,0,0,0,54,0,0.3,ferryda01,1:00,0,MIN,1,0,54,0,0,0,SAS,0,L (-7)
56,-3,0,0,0,0,36-157,0,0,23/03/2003,0,0,1,0,0,0,55,0,-0.5,ferryda01,3:00,0,LAL,2,0,55,1,0,0,SAS,0,W (+9)
57,-6,0,0,1,0,36-159,0,1,25/03/2003,1,0.5,2,0,0,0,56,0,0.5,ferryda01,5:00,0,MIL,2,2,56,0,0,1,SAS,0,W (+13)
58,-1,0,0,0,0,36-161,0,1,27/03/2003,1,0.5,2,0,0,0,57,0,1.3,ferryda01,5:00,0,HOU,0,2,57,0,0,1,SAS,0,W (+13)
59,-10,0,0,0,0,36-163,0,2,29/03/2003,0,0,3,0,0,0,58,0,-0.8,ferryda01,7:00,1,UTA,0,0,58,0,0,3,SAS,0,W (+20)
60,-2,0,0,1,0,36-166,0,1,01/04/2003,0,0,1,0,0,0,59,0,-0.4,ferryda01,4:00,0,ORL,0,0,59,0,0,1,SAS,0,W (+13)
61,2,0,0,0,0,36-167,0,0,02/04/2003,1,1,1,0,0,0,60,0,2.3,ferryda01,4:00,0,MEM,1,2,60,1,0,0,SAS,@,W (+18)
64,-2,0,0,0,0,36-171,0,0,06/04/2003,0,0,0,0,0,0,62,0,0,ferryda01,1:00,0,DET,0,0,62,0,0,0,SAS,@,W (+6)
65,2,0,0,0,0,36-179,0,0,14/04/2003,0,0,0,0,0,0,63,0,0,ferryda01,4:00,0,UTA,0,0,63,0,0,0,SAS,@,W (+8)
66,-7,0,0,1,1,36-181,0,7,16/04/2003,3,0.333,9,0,0,0,64,0,3.3,ferryda01,25:00:00,2,DAL,2,6,64,0,1,9,SAS,0,L (-21)
4,26,0,0,3,5,29-247,1,4,08/11/2002,4,0.267,15,6,0.857,7,5,1,11.5,finlemi01,26:00:00,2,CHI,0,14,5,0,0,6,DAL,@,W (+27)
7,0,0,0,2,2,29-252,0,5,13/11/2002,11,0.524,21,4,1,4,8,1,19.5,finlemi01,44:00:00,3,CLE,3,26,8,0,0,8,DAL,@,W (+4)
26,-7,0,0,6,1,29-289,0,4,20/12/2002,7,0.333,21,2,1,2,26,1,7.2,finlemi01,44:00:00,2,UTA,3,16,26,2,1,6,DAL,0,L (-12)
27,8,0,0,4,0,29-292,0,5,23/12/2002,7,0.389,18,0,0,0,27,1,7,finlemi01,45:00:00,1,WAS,1,14,27,1,0,6,DAL,0,W (+6)
28,-6,0,0,3,3,29-295,1,3,26/12/2002,5,0.313,16,2,1,2,28,1,6.7,finlemi01,40:00:00,0,NOH,2,12,28,1,0,3,DAL,@,W (+2)
29,19,0,0,3,2,29-297,0,1,28/12/2002,6,0.462,13,2,1,2,29,1,6.2,finlemi01,33:00:00,0,NYK,2,14,29,0,2,1,DAL,0,W (+25)
30,1,0,0,2,4,29-299,1,6,30/12/2002,7,0.35,20,2,1,2,30,1,11,finlemi01,41:00:00,3,MIL,3,16,30,1,1,9,DAL,0,L (-3)
31,17,0,0,1,2,29-302,0,5,02/01/2003,7,0.389,18,6,0.857,7,31,1,11.9,finlemi01,41:00:00,0,LAC,2,20,31,1,1,5,DAL,0,W (+10)
32,18,0,0,1,2,29-304,0,2,04/01/2003,7,0.368,19,4,0.667,6,32,1,10.1,finlemi01,35:00:00,2,PHI,0,18,32,1,1,4,DAL,0,W (+19)
56,18,0,0,1,2,29-352,0,6,21/02/2003,3,0.3,10,2,1,2,55,1,5.3,finlemi01,39:00:00,1,HOU,2,8,55,1,1,7,DAL,@,W (+15)
58,0,0,0,1,4,29-356,0,4,25/02/2003,7,0.5,14,3,1,3,57,1,13.3,finlemi01,43:00:00,1,ORL,1,17,57,1,2,5,DAL,@,L (-5)
66,-1,0,0,6,4,30-007,0,4,13/03/2003,5,0.278,18,0,0,0,64,1,0.3,finlemi01,35:00:00,1,SEA,2,10,64,0,3,5,DAL,@,L (-7)
68,13,0,0,4,3,30-010,0,4,16/03/2003,7,0.438,16,7,0.778,9,66,1,15.6,finlemi01,44:00:00,3,SAC,4,21,66,1,1,7,DAL,@,W (+6)
69,1,0,0,0,3,30-012,0,1,18/03/2003,8,0.667,12,5,1,5,67,1,18.5,finlemi01,24:00:00,1,CLE,1,21,67,0,0,2,DAL,0,W (+21)
70,-3,0,0,1,3,30-039,0,1,14/04/2003,1,0.143,7,0,0,0,68,1,0.6,finlemi01,12:00,1,SEA,0,2,68,0,0,2,DAL,0,W (+3)
6,-4,0,0,2,3,28-091,0,1,08/11/2002,2,0.2,10,1,1,1,7,1,0.8,fishede01,33:00:00,2,WAS,2,5,7,0,1,3,LAL,@,L (-1)
7,-21,0,0,4,1,28-095,0,4,12/11/2002,1,0.1,10,2,1,2,8,1,0.9,fishede01,33:00:00,0,ATL,1,4,8,2,0,4,LAL,0,L (-12)
8,4,0,0,0,0,28-098,0,1,15/11/2002,3,0.429,7,2,0.667,3,9,1,3.2,fishede01,31:00:00,0,GSW,0,8,9,0,1,1,LAL,0,W (+7)
17,-1,0,0,2,4,28-114,0,1,01/12/2002,4,0.364,11,2,1,2,18,1,7.6,fishede01,33:00:00,0,MIN,1,10,18,1,0,1,LAL,0,L (-3)
22,10,0,0,1,0,28-121,1,4,08/12/2002,6,0.75,8,1,1,1,22,1,9.1,fishede01,22:00,0,UTA,4,13,22,1,2,4,LAL,0,W (+9)
24,-3,0,0,2,6,28-126,0,1,13/12/2002,4,0.286,14,0,0,0,24,1,2.5,fishede01,33:00:00,2,NOH,3,8,24,0,2,3,LAL,0,L (-16)
28,-6,0,0,1,3,28-133,1,2,20/12/2002,6,0.545,11,1,1,1,28,1,11.3,fishede01,43:00:00,2,PHI,3,13,28,1,1,4,LAL,@,L (-3)
32,9,0,0,2,5,28-142,0,3,29/12/2002,3,0.375,8,0,0,0,32,1,3.5,fishede01,32:00:00,1,TOR,3,6,32,1,3,4,LAL,0,W (+16)
37,23,0,0,1,4,28-156,0,2,12/01/2003,4,0.5,8,0,0,0,37,1,7,fishede01,33:00:00,0,MIA,1,8,37,2,2,2,LAL,0,W (+25)
38,2,0,0,1,2,28-159,0,2,15/01/2003,3,0.375,8,1,0.5,2,38,1,4.4,fishede01,40:00:00,2,NOH,3,7,38,2,2,4,LAL,@,W (+8)
39,11,0,0,3,2,28-161,0,1,17/01/2003,6,0.5,12,2,1,2,39,1,10.8,fishede01,29:00:00,1,HOU,4,14,39,2,0,2,LAL,@,L (-4)
43,4,0,0,4,5,28-168,0,2,24/01/2003,10,0.588,17,2,1,2,42,1,16.2,fishede01,43:00:00,0,NJN,0,22,42,0,2,2,LAL,0,L (-6)
44,13,0,0,2,4,28-173,1,6,29/01/2003,2,0.286,7,1,0.5,2,43,1,5,fishede01,39:00:00,0,PHO,2,5,43,0,0,6,LAL,@,W (+9)
49,11,0,0,0,1,28-186,0,0,11/02/2003,4,0.8,5,2,1,2,48,1,3.6,fishede01,22:00,0,DEN,3,10,48,0,4,0,LAL,0,W (+28)
50,23,0,0,1,4,28-187,1,3,12/02/2003,2,0.4,5,1,0.5,2,49,1,6.5,fishede01,32:00:00,0,DEN,2,5,49,1,0,3,LAL,@,W (+11)
53,13,0,0,2,4,28-193,0,2,18/02/2003,6,0.429,14,1,0.5,2,52,1,10.1,fishede01,49:00:00,1,HOU,3,13,52,2,0,3,LAL,0,W (+7)
55,-5,0,0,0,3,28-196,0,3,21/02/2003,3,0.3,10,0,0,0,54,1,0,fishede01,37:00:00,0,POR,3,6,54,0,2,3,LAL,0,W (+8)
56,-9,0,0,2,5,28-198,0,2,23/02/2003,2,0.286,7,0,0,0,55,1,4.9,fishede01,39:00:00,1,SEA,2,4,55,2,1,3,LAL,0,W (+5)
61,17,0,0,1,5,28-210,0,5,07/03/2003,3,0.214,14,3,0.6,5,60,1,7.1,fishede01,43:00:00,1,MIN,3,9,60,3,0,6,LAL,0,W (+10)
64,-8,0,0,1,5,28-214,0,1,11/03/2003,4,0.4,10,0,0,0,62,1,6.8,fishede01,35:00:00,0,CHI,4,8,62,2,0,1,LAL,@,L (-17)
65,-8,0,0,1,5,28-215,0,1,12/03/2003,4,0.8,5,0,0,0,63,1,10.1,fishede01,35:00:00,0,DET,2,8,63,1,0,1,LAL,@,L (-23)
70,11,0,0,1,3,28-224,0,3,21/03/2003,2,0.286,7,1,1,1,68,1,2.5,fishede01,27:00:00,0,BOS,1,5,68,0,1,3,LAL,0,W (+8)
71,-16,0,0,0,3,28-226,0,1,23/03/2003,1,0.2,5,1,1,1,69,1,0.3,fishede01,35:00:00,0,SAS,5,3,69,1,1,1,LAL,@,L (-9)
72,12,0,0,1,6,28-228,0,3,25/03/2003,6,0.6,10,0,0,0,70,1,17.5,fishede01,32:00:00,0,ATL,0,12,70,5,0,3,LAL,@,W (+17)
73,4,0,0,1,4,28-229,0,2,26/03/2003,4,0.4,10,2,1,2,71,1,10.6,fishede01,40:00:00,0,HOU,1,10,71,5,2,2,LAL,@,W (+3)
75,-13,0,0,0,5,28-233,0,2,30/03/2003,2,0.25,8,0,0,2,73,1,2.8,fishede01,29:00:00,3,SEA,2,4,73,0,1,5,LAL,@,L (-21)
76,11,0,0,1,5,28-234,1,1,31/03/2003,5,0.625,8,0,0,0,74,1,10.5,fishede01,31:00:00,0,MEM,1,10,74,1,1,1,LAL,0,W (+16)
82,0,0,0,1,2,28-247,0,2,13/04/2003,2,0.286,7,1,0.5,2,80,1,3.1,fishede01,34:00:00,0,POR,1,5,80,2,1,2,LAL,@,L (-2)
0,-5,0,0,0,1,24-081,1,3,30/10/2002,0,0,2,2,1,2,1,0,4.6,fizerma01,10:00,1,BOS,0,2,1,1,0,4,CHI,@,W (+3)
1,-2,0,0,0,2,24-083,0,1,01/11/2002,4,0.364,11,1,0.25,4,2,0,2.1,fizerma01,20:00,3,NOH,1,9,2,0,3,4,CHI,0,W (+5)
2,1,0,0,0,1,24-084,1,1,02/11/2002,5,0.5,10,4,1,4,3,0,12.6,fizerma01,22:00,3,ATL,3,14,3,2,1,4,CHI,@,L (-6)
3,-2,0,0,0,2,24-086,0,0,04/11/2002,0,0,3,0,0,0,4,0,-0.4,fizerma01,7:00,1,TOR,1,0,4,0,0,1,CHI,@,L (-4)
4,-8,0,0,0,0,24-088,1,3,06/11/2002,2,0.286,7,3,0.75,4,5,0,1.7,fizerma01,15:00,0,BOS,1,7,5,0,2,3,CHI,0,L (-22)
5,-6,0,0,0,1,24-090,0,2,08/11/2002,1,0.125,8,1,0.25,4,6,0,-2.1,fizerma01,18:00,2,DAL,1,3,6,0,1,4,CHI,0,L (-27)
6,2,0,0,0,0,24-097,1,0,15/11/2002,3,1,3,0,0,0,7,0,3.8,fizerma01,9:00,0,NOH,0,6,7,0,2,0,CHI,@,L (-18)
7,9,0,0,0,1,24-101,0,1,19/11/2002,0,0,3,0,0,0,8,0,-1.2,fizerma01,7:00,1,SAC,2,0,8,0,0,2,CHI,@,L (-13)
8,-3,0,0,1,1,24-112,0,6,30/11/2002,2,0.2,10,1,1,1,9,0,-0.4,fizerma01,17:00,1,DAL,1,5,9,0,2,7,CHI,@,L (-13)
9,-2,0,0,0,1,24-115,0,1,03/12/2002,2,0.667,3,2,1,2,10,0,6.4,fizerma01,6:00,1,NOH,0,6,10,0,0,2,CHI,0,L (-25)
10,-6,0,0,1,1,24-118,1,1,06/12/2002,7,0.538,13,2,0.667,3,11,0,11.6,fizerma01,16:00,2,TOR,2,16,11,0,0,3,CHI,@,L (-14)
11,-7,0,0,0,0,24-119,0,2,07/12/2002,0,0,3,2,0.5,4,12,0,-3.1,fizerma01,14:00,0,CLE,2,2,12,0,2,2,CHI,0,W (+8)
12,13,0,0,0,2,24-122,0,3,10/12/2002,7,0.778,9,1,0.5,2,13,0,10.9,fizerma01,23:00,1,ORL,3,15,13,0,2,4,CHI,0,W (+20)
13,3,0,0,0,0,24-124,0,3,12/12/2002,5,0.556,9,3,0.6,5,14,0,7.6,fizerma01,20:00,2,DET,4,13,14,0,1,5,CHI,0,L (-10)
14,-5,0,0,0,2,24-126,0,3,14/12/2002,5,0.556,9,2,0.5,4,15,0,12.2,fizerma01,24:00:00,4,MIL,2,12,15,1,0,7,CHI,0,W (+2)
15,6,0,0,0,0,24-128,2,11,16/12/2002,7,0.412,17,6,0.667,9,16,0,15.8,fizerma01,28:00:00,6,BOS,2,20,16,1,3,17,CHI,0,W (+11)
16,8,0,0,0,0,24-130,0,8,18/12/2002,6,0.545,11,3,0.6,5,17,0,10,fizerma01,26:00:00,5,TOR,2,15,17,0,4,13,CHI,0,W (+13)
17,-4,0,0,0,4,24-132,0,6,20/12/2002,10,0.588,17,6,0.667,9,18,0,23.3,fizerma01,35:00:00,6,IND,1,26,18,1,3,12,CHI,@,L (-15)
18,-3,0,0,0,2,24-133,0,2,21/12/2002,8,0.571,14,2,1,2,19,0,13.3,fizerma01,38:00:00,1,IND,2,18,19,1,1,3,CHI,0,W (+7)
19,-13,0,0,0,0,24-135,1,7,23/12/2002,5,0.455,11,6,0.75,8,20,0,11.5,fizerma01,27:00:00,2,NJN,3,16,20,0,1,9,CHI,@,L (-16)
21,-18,0,0,0,1,24-139,1,0,27/12/2002,1,0.2,5,2,1,2,21,0,0.5,fizerma01,17:00,0,MIN,2,4,21,0,1,0,CHI,0,L (-13)
22,7,0,0,1,3,24-140,0,7,28/12/2002,5,0.357,14,1,0.5,2,22,0,11.5,fizerma01,26:00:00,5,SAS,5,11,22,4,1,12,CHI,0,L (-14)
23,-8,0,0,0,1,24-143,1,4,31/12/2002,5,0.625,8,0,0,0,23,0,5.8,fizerma01,24:00:00,2,POR,4,10,23,0,3,6,CHI,0,W (+15)
24,-8,0,0,0,2,24-145,1,4,02/01/2003,5,0.313,16,2,0.4,5,24,0,8.3,fizerma01,24:00:00,4,WAS,1,12,24,1,0,8,CHI,0,L (-25)
25,-2,0,0,0,1,24-147,1,2,04/01/2003,3,0.333,9,1,0.5,2,25,0,2.4,fizerma01,16:00,1,CLE,2,7,25,0,1,3,CHI,0,W (+6)
27,-9,0,0,1,2,24-151,0,4,08/01/2003,5,0.5,10,2,0.667,3,27,0,7,fizerma01,22:00,0,WAS,3,12,27,0,1,4,CHI,@,L (-3)
28,-8,0,0,0,1,24-153,1,3,10/01/2003,6,0.545,11,1,0.25,4,28,0,6.9,fizerma01,30:00:00,3,MIL,5,13,28,0,2,6,CHI,@,L (-8)
29,-4,0,0,0,2,24-156,0,3,13/01/2003,6,0.5,12,2,0.667,3,29,0,9.1,fizerma01,18:00,2,NYK,3,14,29,0,1,5,CHI,0,W (+7)
30,1,0,0,0,1,24-157,0,8,14/01/2003,4,0.4,10,1,0.5,2,30,0,7.3,fizerma01,26:00:00,4,NYK,2,9,30,0,1,12,CHI,@,L (-12)
31,8,0,0,0,1,24-160,1,4,17/01/2003,5,0.556,9,2,0.5,4,31,0,6.7,fizerma01,24:00:00,2,NOH,3,12,31,0,3,6,CHI,@,L (-7)
32,0,0,0,0,2,24-161,0,8,18/01/2003,6,0.462,13,4,0.8,5,32,0,10.5,fizerma01,37:00:00,0,MIA,3,16,32,0,1,8,CHI,@,L (-1)
33,18,0,0,0,1,24-163,1,7,20/01/2003,10,0.526,19,4,1,4,33,0,19.1,fizerma01,27:00:00,3,ATL,3,24,33,1,1,10,CHI,@,W (+13)
34,6,0,0,1,2,24-165,1,4,22/01/2003,7,0.412,17,3,1,3,34,0,8.3,fizerma01,24:00:00,1,ORL,4,17,34,0,2,5,CHI,@,L (-3)
35,-5,0,0,0,2,24-167,0,2,24/01/2003,8,0.615,13,2,0.4,5,35,0,12.1,fizerma01,20:00,2,WAS,3,18,35,0,1,4,CHI,0,W (+7)
36,-1,0,0,0,1,24-169,0,2,26/01/2003,6,0.5,12,0,0,0,36,0,5.5,fizerma01,21:00,2,HOU,3,12,36,1,3,4,CHI,0,W (+2)
37,-11,0,0,0,2,24-172,0,4,29/01/2003,1,0.125,8,2,1,2,37,0,-3.2,fizerma01,21:00,2,LAC,5,4,37,0,4,6,CHI,@,L (-2)
38,3,0,0,0,2,24-174,0,3,31/01/2003,6,0.6,10,5,1,5,38,0,13.4,fizerma01,22:00,1,POR,0,17,38,0,2,4,CHI,@,L (-13)
0,1,0,0,0,0,21-185,0,2,30/11/2002,0,0,0,0,0,0,1,0,-0.8,fordal02,5:00,0,GSW,1,0,1,0,1,2,PHO,@,L (-10)
1,3,0,0,0,0,21-187,0,1,02/12/2002,0,0,0,0,0,0,2,0,-0.1,fordal02,2:00,0,MIA,1,0,2,0,0,1,PHO,0,L (-10)
2,-1,0,0,0,0,21-199,0,0,14/12/2002,0,0,0,1,0.5,2,3,0,0.6,fordal02,1:00,0,ATL,0,1,3,0,0,0,PHO,@,W (+14)
3,7,0,0,0,1,21-202,0,1,17/12/2002,0,0,0,0,0,0,4,0,0.6,fordal02,3:00,0,SAC,1,0,4,0,0,1,PHO,@,L (-9)
4,-5,0,0,0,0,21-205,0,0,20/12/2002,0,0,1,0,0,0,5,0,-0.7,fordal02,1:00,0,LAC,0,0,5,0,0,0,PHO,@,W (+11)
5,-6,0,0,0,0,21-221,0,0,05/01/2003,0,0,1,0,0,0,6,0,-2.1,fordal02,3:00,0,LAL,1,0,6,0,1,0,PHO,@,L (-12)
6,-4,0,0,0,0,21-231,0,0,15/01/2003,0,0,0,0,0,0,7,0,0,fordal02,1:00,0,HOU,0,0,7,0,0,0,PHO,@,L (-6)
7,-6,0,0,0,0,21-236,0,2,20/01/2003,1,0.333,3,0,0,1,8,0,-0.3,fordal02,6:00,0,NOH,2,2,8,0,0,2,PHO,@,L (-12)
8,2,0,0,0,0,21-242,0,0,26/01/2003,0,0,0,0,0,0,9,0,0,fordal02,1:00,0,NYK,0,0,9,0,0,0,PHO,@,L (-8)
